id,category,name,description,horizon,logic
11,PUT TO ANOTHER USE,Round-Number Resistance as Secular Bull/Bear Inflection,"Major psychological levels (SPX 1000, 2000, 3000, 5000) act as multi-year inflection points. Use cluster analysis: if index stalls at major round for 6+ months with rising sentiment, it's late cycle. Reduce long bias for 1-2 years.",1-2 years,"Round numbers cluster orders; at multi-year highs they become structural supply zones. When broken cleanly, bull extends; when rejected repeatedly, distribution phase."
12,ELIMINATE,Zero-Forecasting Multi-Year Trend Portfolio,"Eliminate all return forecasts. Build portfolio purely on: (1) 200+ day MA trend, (2) debt-cycle phase, (3) cross-asset confirmation. If all 3 align bullish, hold 100% equities; if 2/3, hold 50%; if 1/3, flat. Rebalance quarterly, hold for years.",Multi-year,"Varma: 'Stop predicting.' Dalio: 'Balance across environments.' Pure reactive system, no alpha models."
13,ELIMINATE,Remove Intra-Trade Discretion (Wu Wei Execution),"Eliminate all mid-trade adjustments. Define entry, stop, target, and time stop (e.g., 2-year max hold) at trade inception. No override allowed. Track performance by 'process adherence.'",Per-trade 1-3 years,Varma's worst trade (Seagate) was marred by discretionary overrides. Wu wei enforcement prevents emotional hijacking on long holds.
14,REVERSE,Inverse Institutional Flow on Long-Horizon Anomalies,"Research shows institutions trade *against* long-horizon anomalies (value, quality) due to liquidity preference. Build strategy that buys what institutions are net selling (illiquid value) and sells what they're buying (liquid growth), hold 3+ years.",3-5 years,Explicitly exploit documented institutional behavior error. Multi-year as reversion takes time.
15,REVERSE,Reverse Time Preference: Only Enter When 3+ Year Thesis Clear,"Most traders optimize for 3-12 month trades. Reverse: only enter when you can articulate a 3+ year structural thesis (demo shift, debt cycle, tech adoption curve). Ignore shorter opportunities.",3-5 years,Varma pivoted to >1 year to escape crowding. Dalio thinks in cycles. Forced long-horizon filter reduces competition and behavioral noise.
16,REVERSE,"Rearrange: Risk State First, Signal Second","Reverse typical flow (scan for setups → check risk). Instead: compute daily risk state (regime matrix), *then* only scan for setups allowed under that state. In high-risk, scan for nothing → wu wei.",Continuous,"Varma's central thesis: make risk primary. Rearranging order enforces discipline, prevents forcing trades in bad regimes."
17,COMBINE,Chaos Constraints + Regime Boundaries,"Varma used chaos theory to find 'constraints' (restoring forces). Combine with Dalio's regime boundaries: model long-term fair value bands for assets using productivity growth + debt capacity. When asset trades >2 std dev outside band in late debt cycle, fade with multi-year short.",2-4 years,"Chaos has attractors; regimes have equilibrium. When both signal extreme, mean reversion is structural, not statistical."
18,ADAPT,Cyber Incident Playbook for Market Dislocations,"Adapt cybersecurity incident response to market: define 'market incidents' (flash crash, correlation spike, liquidity freeze). Pre-code playbooks with exact actions (cut to 30%, widen stops, pause new entries). Trigger automatically, review weekly.","Event-driven, multi-year deployment","Reactive frameworks from other domains. Removes emotion during crises, which can define multi-year performance."
19,MODIFY,Sentiment × Debt Cycle Matrix with Time Decay,"4-state regime: [early/late debt] × [low/high sentiment]. Assign base exposure (100% / 75% / 50% / 25%). Add time-decay: if stuck in same state >18 months, reduce by 10% (acknowledging regime staleness).",Multi-year with adaptive decay,Regimes persist but eventually break. Time decay prevents complacency in stale regimes.
20,ELIMINATE,No Trades in Neutral Regimes (Shi Absence),"Define 'neutral' as: price near 200MA, vol mid-range, correlation mid-range, sentiment neutral, debt-cycle mid. Eliminate all trading when neutral (no positional advantage / shi). Only trade extremes.",Multi-year discipline,Martial shi concept: only act when advantage clear. Neutral = no edge = wu wei.
