id,category,name,metaphor,implementation,data_sources,signal,varma_dalio_fit
11,MODIFY,Pattern Timeframe Compression/Extension by Regime,"In fast water (high vol), patterns resolve faster. In slow water (low vol), patterns take longer.","In HIGH vol regimes (VIX >30), momentum patterns resolve in 5-10 days. In LOW vol (VIX <15), patterns take 20-30 days. Adjust holding periods accordingly. Ask Perplexity: 'How does market volatility affect pattern duration historically?'","['VIX regime', 'Pattern duration by vol regime (empirical)', 'Realized vol vs pattern speed']","Expected_duration = base_duration × (15 / current_VIX). VIX 30 → 2x faster, VIX 7.5 → 2x slower.",Varma: regime determines behavior. Dalio: velocity of change varies by environment.
12,MODIFY,Pattern Signal Strength → Multi-Timeframe Confirmation,A rock creating ripples on surface (short-term) AND deep current (long-term) = high confidence. Surface-only = weak.,"Require confirmation across 3 timeframes: daily, weekly, monthly. RSI oversold on daily but weekly/monthly still strong = stronger signal than daily alone. Use Perplexity: 'What are best multi-timeframe confirmation strategies for [pattern type]?'","['Daily, weekly, monthly price/indicator data', 'Cross-timeframe divergence analysis']",Pattern_strength = count(timeframes_aligned) / 3. All 3 aligned = 1.0 (max confidence).,Multiple independent signals confirm regime (Varma's 3+ cross-asset confirmation approach).
13,PUT_TO_ANOTHER_USE,News Narrative Patterns → Sentiment Exhaustion Detection,"Watch how surfers talk about the rock. When everyone's bragging (euphoria), rock about to collapse.","Track narrative intensity via Perplexity news searches. When 'AI stocks', 'crypto', 'meme stocks' hit 90th percentile of mentions + sentiment, pattern exhaustion. Ask Perplexity: 'Show me news mention frequency and sentiment for [theme] over past 12 months.'","['Google Trends', 'News mention count via Perplexity', 'Sentiment analysis (AAII, news tone)']",Narrative_exhaustion = (mention_count > 90th pct) AND (sentiment > 80th pct). Contrarian signal.,Sentiment extremes precede reversals (Varma SCAMPER idea #4). Dalio: bubbles require extreme consensus.
14,PUT_TO_ANOTHER_USE,Patent Filing Trends → Sector Innovation Cycles,Upstream prospectors staking claims (patents) = future rocks forming. Early signal of sector shifts.,"Track patent filings in pharma, semiconductors, energy. Spike in AI chip patents 2016-2018 preceded NVDA run 2019-2023. Use Perplexity: 'What sectors have seen largest increase in patent filings in past 2 years?'","['USPTO patent data via Perplexity', 'Sector-specific innovation metrics', 'R&D spending trends']",Innovation_momentum = (patent_count_recent_3y / patent_count_prior_3y) - 1. >50% increase = early signal.,Dalio: understand causal mechanisms. Long-term sector shifts driven by innovation cycles.
15,PUT_TO_ANOTHER_USE,Insider Transaction Patterns → Regime Confidence,River guides (insiders) loading up kayaks (buying stock) = they know safe path. Guides selling = danger ahead.,Track insider buying/selling ratios. Spike in insider buying at sector level = bullish regime confirmation. Spike in selling = bearish. Use Perplexity: 'Which sectors have seen unusual insider buying/selling in past 3 months?',"['SEC Form 4 filings via Perplexity', 'Insider buy/sell ratios by sector', 'CEO/CFO transaction clustering']","Insider_sentiment = (buy_volume - sell_volume) / total_volume. >0.3 = bullish, <-0.3 = bearish.","Insiders have informational edge. Varma: use all available info, not just price."
16,ELIMINATE,"Remove Prediction, Keep Reaction","Don't predict where the rock will be. React when you see it form. Less forecasting, more observation.","Eliminate all predictive models (ML forecasts, regression). Keep only reactive rules: IF price > 200DMA AND vol < 20th pct THEN size up. No 'stock will go to $X'. Ask Perplexity: 'What are best reactive (not predictive) trading frameworks?'","['Current regime state (observable)', 'Price relative to moving averages', 'Vol percentiles']",No forecasts. Only state machines: current_state → action_rule → position_size.,"Varma: reactive risk management, not predictive. Dalio: respond to what IS, not what you think will be."
17,ELIMINATE,Remove Trades in Neutral Regimes (Shi Absence),"Don't surf when the water is flat (no rocks, no patterns). Wu wei: do nothing when no advantage.","When all indicators mid-range (trend neutral, vol normal, sentiment balanced), eliminate ALL trades. Only trade when regime extremes create clear advantage (Shi presence). Ask Perplexity: 'What are characteristics of low-conviction market environments?'","['Regime classification across 5 factors', 'Historical returns in neutral vs extreme regimes']","Trade_allowed = (regime_extreme_count >= 2). If <2 factors at extremes, flat.",Wu wei: only act when natural advantage exists. Varma: don't force trades.
18,ELIMINATE,Remove Low-Confidence Patterns from Regime Influence,Don't change your route (cut exposure) for every pebble (low-confidence signal). Only react to boulders (high-confidence).,"In your early-warning system, patterns with confidence <40 get eliminated from MSI calculation (watchlist only). Don't let noise drive regime shifts. This is already in your spec (FR-EWR-024).","['Multi-source confidence scores', 'Historical false positive rates by confidence bucket']",MSI_contribution = severity × confidence × stage_weight IF confidence >= 40 ELSE 0.,Varma: systematic rules prevent emotional overreaction to noise.
19,REVERSE,Pattern Failure Detection → Entry Signal,"When everyone falls off the rock (pattern fails), that's when you enter (contrarian).","Track momentum strategy failures. When 5-day momentum breaks down sharply (>2 stdev), it's often a shakeout before continuation. Use pattern failure as entry, not exit. Ask Perplexity: 'What are common false breakdowns in trending markets?'","['Pattern performance tracking', 'Drawdown depth vs regime', 'Failed pattern follow-through rates']",Contrarian_entry = (pattern_breakdown > 2 stdev) AND (underlying_regime_still_supportive).,Kuzushi: off-balance moments create opportunity. Sentiment exhaustion → reversal.
20,REVERSE,High Correlation → Inverse Market Beta Strategies,"When everyone's surfing downstream (correlated), surf upstream (negative beta).","In HIGH correlation regimes, only trade strategies with negative or zero beta to SPY: long vol, merger arb, stat arb. Use Perplexity: 'Which strategies historically profit when equity correlations spike?'","['Strategy betas by regime', 'Correlation regime classification', 'Alternative strategy returns']",Strategy_allowed = (strategy_beta < 0.3) OR (correlation_regime == LOW).,Dalio: diversification. Varma: don't crowd into correlated trades.
21,REVERSE,Inverse Institutional Flow → Liquidity Arb,"Institutions (big boats) can't surf the small, shallow rocks (illiquid stocks). That's where retail advantage is.","Track institutional ownership (13F). Stocks with <30% institutional ownership = less crowded, slower alpha decay. Use Perplexity: 'What trading patterns work best in low-institutional-ownership stocks?'","['13F institutional ownership data', 'Float turnover', 'Bid-ask spreads']","Liquidity_edge = (inst_ownership < 30%) AND (market_cap < $5B). Small, illiquid = less competition.",From your SCAMPER brainstorm idea #14: institutional flow constraints create multi-year arb.
